	madia
1	25651.1510502593
2	31444.7268311881
3	22681.8165957527
4	21260.4895432875
5	24103.515093473
6	23236.2884927393
7	22662.9999514316
8	22105.2510478979
9	22263.2110232224
10	22365.1923639465
11	24890.7343979237
12	21865.5702546275
13	23023.810670677
14	21991.5977192775
15	23439.0911226705
