0.0055999756	85
0.5059099197	110
1.0062100887	128.30127
1.506469965	135
2.0067501068	128.30127
2.5070199966	110
3.0072898865	85
3.5076398849	60
4.0079500675	41.69873
4.5082499981	35
5.0085101128	41.69873
5.5088100433	60
6.0091099739	85
6.5094099045	110
7.0096900463	128.30127
7.5099699497	135
8.0102701187	128.30127
8.5105400085	110
9.0107800961	85
9.5109899044	60
10.0111699104	41.69873
10.5113999844	35
11.0116500854	41.69873
11.5119299889	60
12.0122299194	85
12.512540102	110
13.0128400326	128.30127
13.5130898952	135
14.0133800507	128.30127
14.5136599541	110
15.0139598846	85
15.5142099857	60
16.0144701004	41.69873
16.5147800446	35
17.0150198936	41.69873
17.515239954	60
18.0155301094	85
18.5157499313	110
19.0159800053	128.30127
19.516190052	135
20.0164000988	128.30127
20.5166800022	110
21.0169000626	85
21.5171198845	60
22.017359972	41.69873
22.5175900459	35
23.017829895	41.69873
23.5180199146	60
24.0182099342	85
24.5184700489	110
25.0186998844	128.30127
25.5189299583	135
26.0191400051	128.30127
26.5193300247	110
27.0195300579	85
27.5197100639	60
28.0199100971	41.69873
28.5201599598	35
29.0203800201	41.69873
29.5206100941	60
30.0208199024	85
30.5210299492	110
31.0212299824	128.30127
31.5214600563	135
32.0216898918	128.30127
32.5218999386	110
33.0221300125	85
33.5223600864	60

