	madia
1	11570.5257521554
2	14287.7795227076
3	17289.2333341981
4	16558.7425900981
5	17471.3621634013
6	19609.3843353361
7	19857.1401998084
8	18635.4560513656
9	13574.3651494439
10	15703.704168669
11	17033.7142329383
12	17844.1562443425
13	17976.7792229723
14	16835.8697646784
15	16723.0137815817
