	madia
1	17220.6971098523
2	18751.0849329404
3	5478.21904121639
4	20500.1010001669
5	26177.6841755988
6	25822.1899455841
7	15288.7879376675
8	1826.91195465336
9	11732.4066174802
10	11941.7694857102
11	20545.0500609352
12	4640.00619203396
13	4520.60411755148
14	10729.3967650409
15	8989.97720295691
