	madia
1	2593.560321982
2	1349.34377475564
3	2049.25894594229
4	1813.89461095229
5	3371.8537408467
6	2473.1392246055
7	871.156724647379
8	3252.98322766039
9	3027.15412885314
10	5609.70413211528
11	4459.91862282991
12	1373.7570587757
13	3128.23690264013
14	1973.51264447683
15	7645.1484485043
