1401195188.768404960632324	legLF1	35.50717
1401195188.803771972656250	legLF1	35.50717
1401195188.830898046493530	legLF1	35.14489
1401195188.863087892532349	legLF1	35.14489
1401195188.893232107162476	legLF1	34.78255
1401195188.924010038375854	legLF1	35.14489
1401195188.955172061920166	legLF1	35.14489
1401195188.989597082138062	legLF1	35.50717
1401195189.016273975372314	legLF1	35.50717
1401195189.046515941619873	legLF1	35.14489
1401195189.056376934051514	legLF1	34.78255
1401195189.094006061553955	legLF1	35.50717
1401195189.144618988037109	legLF1	41.66664
1401195189.154759883880615	legLF1	50.6159
1401195189.207761049270630	legLF1	61.08688
1401195189.217041969299316	legLF1	71.24995
1401195189.250204086303711	legLF1	81.72098
1401195189.282949924468994	legLF1	89.11225
1401195189.318948984146118	legLF1	94.34777
1401195189.352219104766846	legLF1	97.11951
1401195189.383517980575562	legLF1	97.73544
1401195189.417829990386963	legLF1	98.35143
1401195189.448882102966309	legLF1	98.35143
1401195189.480732917785645	legLF1	98.04341
1401195189.515518903732300	legLF1	102.663
1401195189.549949884414673	legLF1	111.9021
1401195189.579293012619019	legLF1	119.2934
1401195189.611229896545410	legLF1	121.7572
1401195189.628357887268066	legLF1	121.1413
1401195189.654836893081665	legLF1	120.5253
1401195189.686395883560181	legLF1	122.9891
1401195189.725212097167969	legLF1	127.3007
1401195189.773190975189209	legLF1	130.3804
1401195189.783241033554077	legLF1	132.8442
1401195189.816759109497070	legLF1	132.8442
1401195189.847389936447144	legLF1	132.8442
1401195189.880961894989014	legLF1	133.7681
1401195189.913243055343628	legLF1	132.8442
1401195189.948908090591431	legLF1	133.4601
1401195189.980429887771606	legLF1	132.8442
1401195190.013415098190308	legLF1	133.7681
1401195190.047754049301147	legLF1	133.7681
1401195190.080379009246826	legLF1	132.5362
1401195190.115787982940674	legLF1	131.3043
1401195190.149487972259521	legLF1	125.7608
1401195190.180893898010254	legLF1	122.0652
1401195190.219872951507568	legLF1	121.7572
1401195190.249610900878906	legLF1	120.5253
1401195190.281769037246704	legLF1	120.5253
1401195190.311938047409058	legLF1	118.6775
1401195190.347067117691040	legLF1	111.9021
1401195190.380494117736816	legLF1	102.971
1401195190.406902074813843	legLF1	98.35143
1401195190.427460908889771	legLF1	98.35143
1401195190.454673051834106	legLF1	98.35143
1401195190.486016035079956	legLF1	97.73544
1401195190.518491029739380	legLF1	95.27167
1401195190.550344944000244	legLF1	88.18836
1401195190.584270000457764	legLF1	78.33331
1401195190.615773916244507	legLF1	72.48181
1401195190.648458003997803	legLF1	70.94198
1401195190.680309057235718	legLF1	71.24995
1401195190.714097023010254	legLF1	67.24635
1401195190.744461059570312	legLF1	60.16298
1401195190.782963991165161	legLF1	54.00357
1401195190.814707994461060	legLF1	49.99997
1401195190.847302913665771	legLF1	49.27529
1401195190.881901025772095	legLF1	48.91301
1401195190.911963939666748	legLF1	47.46372
1401195190.944927930831909	legLF1	44.20284
1401195190.980355024337769	legLF1	40.57968
1401195191.015800952911377	legLF1	38.76805
1401195191.048719882965088	legLF1	36.95647
1401195191.082663059234619	legLF1	36.23185
1401195191.111948966979980	legLF1	36.23185
1401195191.144557952880859	legLF1	37.31881
1401195191.179333925247192	legLF1	36.59413
1401195191.192195892333984	legLF1	37.31881
1401195191.223082065582275	legLF1	37.31881
1401195191.254502058029175	legLF1	39.13039
1401195191.287484884262085	legLF1	41.66664
1401195191.318861007690430	legLF1	42.75354
1401195191.350481986999512	legLF1	46.7391
1401195191.382061958312988	legLF1	51.23183
1401195191.416342020034790	legLF1	56.46735
1401195191.449332952499390	legLF1	58.31514
1401195191.480926036834717	legLF1	60.16298
1401195191.511854887008667	legLF1	60.16298
1401195191.548875093460083	legLF1	63.85862
1401195191.574713945388794	legLF1	70.01809
1401195191.619254112243652	legLF1	75.86954
1401195191.652108907699585	legLF1	82.33691
1401195191.683023929595947	legLF1	85.72458
1401195191.715477943420410	legLF1	86.03255
1401195191.745083093643188	legLF1	86.34051
1401195191.776088953018188	legLF1	89.42022
1401195191.823837041854858	legLF1	98.04341
1401195191.856942892074585	legLF1	108.2065
1401195191.879797935485840	legLF1	111.2862
1401195191.912184000015259	legLF1	111.2862
1401195191.943064928054810	legLF1	110.6703
1401195191.974478960037231	legLF1	112.5181
1401195191.990928888320923	legLF1	115.2898
1401195192.026211977005005	legLF1	122.3731
1401195192.065140008926392	legLF1	127.3007
1401195192.087436914443970	legLF1	128.5326
1401195192.118963003158569	legLF1	128.5326
