1400500930.27601	legRF1	133.7218
1400500930.3051	legRF2	43.07366
1400500930.30518	legRF3	123.7234
1400500930.30522	legRH1	-25.87409
1400500930.30525	legRH2	69.50523
1400500930.30529	legRH3	123.4854
1400500930.30533	legLF1	98.96736
1400500930.30543	legLF2	70.15789
1400500930.30547	legLF3	93.49366
1400500930.3055	legLH1	1.689137
1400500930.30554	legLH2	46.98942
1400500930.30557	legLH3	126.0455
1400500930.30562	headTilt	-9.655142
1400500930.30566	headPan	-17.53457
1400500930.30569	tailPan	59.99998
1400500930.30573	tailTilt	58.7766
1400500930.3058	mouth	-2.451572
1400500930.33426	legRF1	133.7218
1400500930.33431	legRF2	43.07366
1400500930.33434	legRF3	124.0511
1400500930.33438	legRH1	-25.87409
1400500930.33441	legRH2	69.50523
1400500930.33445	legRH3	123.4854
1400500930.33448	legLF1	99.27532
1400500930.33452	legLF2	70.15789
1400500930.33455	legLF3	93.49366
1400500930.33459	legLH1	1.689137
1400500930.33467	legLH2	46.98942
1400500930.33471	legLH3	126.0455
1400500930.33475	headTilt	-9.999948
1400500930.33478	headPan	-17.31261
1400500930.33482	tailPan	59.99998
1400500930.33485	tailTilt	58.7766
1400500930.33489	mouth	-2.94191
1400500930.36472	legRF1	133.7218
1400500930.36478	legRF2	43.07366
1400500930.36481	legRF3	124.0511
1400500930.36485	legRH1	-25.87409
1400500930.36489	legRH2	69.50523
1400500930.36492	legRH3	123.4854
1400500930.36496	legLF1	98.65939
1400500930.36499	legLF2	70.48419
1400500930.36503	legLF3	93.49366
1400500930.36507	legLH1	0.6756319
1400500930.36516	legLH2	46.98942
1400500930.3652	legLH3	126.0455
1400500930.36524	headTilt	-9.310279
1400500930.36528	headPan	-17.53457
1400500930.36531	tailPan	59.99998
1400500930.36535	tailTilt	58.7766
1400500930.36539	mouth	-2.696741
1400500930.3942	legRF1	133.7218
1400500930.39425	legRF2	43.07366
1400500930.39429	legRF3	123.7234
1400500930.39433	legRH1	-25.87409
1400500930.39436	legRH2	69.50523
1400500930.3944	legRH3	123.4854
1400500930.39443	legLF1	99.27532
1400500930.39447	legLF2	70.15789
1400500930.39456	legLF3	93.49366
1400500930.39459	legLH1	1.013505
1400500930.39463	legLH2	46.98942
1400500930.39467	legLH3	126.0455
1400500930.39471	headTilt	-9.310279
1400500930.39475	headPan	-17.53457
1400500930.39478	tailPan	59.99998
1400500930.39482	tailTilt	58.7766
1400500930.39491	mouth	-2.696741
1400500930.42393	legRF1	133.7218
1400500930.42398	legRF2	43.07366
1400500930.42402	legRF3	124.0511
1400500930.42405	legRH1	-25.1748
1400500930.42409	legRH2	69.50523
1400500930.42412	legRH3	123.4854
1400500930.4242	legLF1	99.27532
1400500930.42433	legLF2	70.15789
